所得稅費用,稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率
"155,369","26,335","","233,126","31,056","","256,014","27,797","","171,619","71,699","","-262,062","-7,989","","381,340","70,678","","498,384","45,588","","180,987","47,584","","568,124","47,452",""
"5,522,913","713,680","","6,706,583","811,893","","7,465,432","771,016","","7,194,474","824,067","","4,380,064","193,213","","4,938,747","506,985","","3,952,233","431,417","","1,400,609","90,000","","492,442","7",""
"407,382","10,617","","106,154","20,647","","380,255","25,695","","287,323","19,724","","325,982","1,142","","485,928","19,637","","484,362","19,491","","466,250","17,157","","481,190","26,734",""
"569,200","7,299","","982,357","20,198","","757,986","6,255","","546,902","19,868","","681,549","36,627","","1,727,227","29,615","","1,188,928","-2,511","","632,513","25,320","","453,795","1,440",""
"852,987","72,000","","741,435","75,000","","774,272","58,000","","682,198","34,000","","358,175","25,500","","506,635","33,700","","453,931","12,000","","293,318","6,700","","103,340","4,048",""
"5,483,468","218,480","","2,413,236","131,904","","2,694,630","22,926","","1,236,236","48,739","","1,547,987","22,922","","1,286,877","32,226","","1,148,252","10,233","","668,455","5,302","","419,722","5,759",""
"-38,987","300","","-9,928","0","","4,302","3,128",""
"698,788","32,300","","315,272","-12,068","","85,938","-3,438","","18,256","1,843","","-30,297","49","","-28,250","-108","","9,347","2,851","","4,486","4,375","","46,921","11,455",""
"-4,785,162","-792,429","","-829,182","-201,396","","3,089,915","586,973","","6,213,656","1,331,779","","-4,436,554","-1,058,150","","609,647","96,550","","7,335,433","1,782,738","","1,160,360","536,498","","5,864,572","1,394,330",""
"6,130,571","319,081","","20,284,693","791,014","","44,094,271","6,507,445","","20,159,839","557,322","","30,255,331","6,224,925","","61,651,674","10,387,800","","47,678,753","8,482,347","","65,112,429","14,465,790","","65,022,014","13,405,323",""
